Model,Partno,Specs,Manufacturer,ProductType,Category,CustomerPrice
Lenovo ThinkPad Thunderbolt 3 Dock for ThinkPad X1 Carbon 5th Gen or T470s,40AC0135EU,"For ThinkPad X1 Carbon 5th Gen and T470s
5x USB 3.0, 1x USB-C, 1x Thunderbolt 3,  
1x RJ45, 1x HDMI, 1x VGA, 2x DisplayPort,  
1x 3.5mm Audio Jack, 1x Power-In 
135W AC Adapter Included",Lenovo,,System Accessories,238
Lenovo ThinkPad OneLink+ Dock for ThinkPad X1 Carbon 4th Gen Only,40A40090EU,"For ThinkPad X1 Carbon 4th Gen
3x USB 3.0 (One Always On), 2x USB 2.0, 1x USB-C,
1x Gigabit Ethernet, 2x DisplayPort, 1x VGA,
1x Headset/Mic Combo, 1x Power",Lenovo,,System Accessories,170
Lenovo ThinkPad USB 3.0 Pro Dock for Any ThinkPad Notebook,40A70045EU,"For ThinkPad X1 Carbon 2nd Gen, 3rd Gen or Other Laptop with USB 3.0
1x SuperSpeed USB 3.0 - 4 pin USB Type B
3x SuperSpeed USB 3.0 - 9 pin USB Type A
2x USB 2.0 - 4 pin USB Type A
1x Audio / Video - DisplayPort - 20 pin DisplayPort
1x DVI-Analog/Digital - 29 pin combined DVI
1x Network - RJ-45
1x Audio - Headphones/Microphone - Mini-Phone Stereo 3.5 mm
Cables Included: DVI-I to VGA Adapter and USB Cable",Lenovo,,System Accessories,159
Lenovo ThinkPad Basic USB 3.0 Dock for Any ThinkPad Notebook,40AA0045EU,"For Any Notebook with USB Connectivity 
2x USB 3.0, 2x USB 2.0, 1x DVI, 1x RJ45 
Cable Included: DVI to VGA Adapter",Lenovo,,System Accessories,102
Lenovo 65W AC Charger for ThinkPad X1 Carbon 5th Gen,4X20M26272,,Lenovo,,System Accessories,30
Lenovo 135W AC Charger for ThinkPad T460s/T470s,4X20E50562,,Lenovo,,System Accessories,49
"HP UltraSlim Docking Station for EliteBook 820 and 840, G3 and G4",D9Y32AA,"Compatible with HP EliteBook 820 and 840, G3 and G4
4x USB 3.0 Ports, 1x RJ-45 (Network) Jack,
2x DisplayPort 1.1a, 1x VGA Port,
1x Line-In/Line-Out Jack",HPI,,System Accessories,102
HP 65W Slim AC Adapter,H6Y82AA," Compatible with EliteBook 820 or 840, G3 or G4
",HPI,,System Accessories,43
HP DisplayPort to HDMI Adapter,F3W43AA,"DP to HDMI, 8"" Cable Length",HPI,,System Accessories,11
HP Essential Laptop Backpack,H1D24AA,"Durable Design, Compatible with Notebooks up to 15.6"" 
Padded Adjustable Shoulder Straps, Accessories Pocket",HPI,,System Accessories,22
Viewsonic VX2452mh Monitor,VX2452MH,"24"" LED LCD, FHD 1920x1080  
2x Speakers, Tilt Stand, VESA-Compatible Wallmount 
DVI, HDMI, VGA Interfaces",Other,,System Accessories,142
BenQ GL2460Hm LED LCD Monitor,GL2460HM,"24"" Widescreen, 1920X1080 FHD, 2x Speakers 
ZeroFlicker Technology, Low Blue Light 
DVI, HDMI, VGA Interfaces",Other,,System Accessories,146
BenQ BL2420PT LED LCD Monitor,BL2420PT,"24"" Widescreen, 2560x1440 WQHD 
100% sRGB and REC 709 Color Space with IPS Technology 
CAD/CAM Mode and Animation Mode 
Display Pilot Software 
Flicker-Free and Low Blue Light Mode 
Speaker, USB Hub 
DVI, HDMI, DisplayPort, VGA Interfaces",Other,,System Accessories,237
Iiyama ProLite E2483HS Monitor,E2483HS-B1,"24"" FHD LED Monitor 
1920x1080p Resolution 
Blue Light Reducer, Flicker Free LED 
2x Speakers 
VGA, DVI, HDMI Interfaces 
",Other,,System Accessories,207
Microsoft Wired Keyboard 600 and Mouse,3J2-00001,"English, Black, USB
Other Languages Available",Microsoft,,System Accessories,25
Microsoft Wireless Desktop 2000 Keyboard and Mouse,M7J-00001,"English, Black, USB
Other Languages Available",Microsoft,,System Accessories,41
Microsoft Wireless Keyboard 850,PZ3-00001,"English, Other Languages Available",Microsoft,,System Accessories,21
Microsoft Wired 600 Keyboard,ANB-00001,"English, Other Languages Available",Microsoft,,System Accessories,14
Microsoft Wired Mouse 500,4HH-00001,,Microsoft,,System Accessories,10
Microsoft Wireless Mouse 900,PW4-00001,,Microsoft,,System Accessories,25
Microsoft Wireless Mobile Mouse 1850,7MM-00001,,Microsoft,,System Accessories,12
Western Digital 2TB External Hard Drive,WDBYFT0020BBK-WESN,"WD My Passport
USB 3.0, Portable, Black, 256-Bit Encryption Standard",Other,,System Accessories,109
Logitech Laser Presentation Pointer,910-001354,"R400, USB  Interface
Includes Wireless Mini-Receiver, 2x AAA Batteries
Carrying Case",Other,,System Accessories,39
Logitech H600 Wireless Headset,981-000341,,Other,,System Accessories,60
Logitech H390 USB Wired Headset with Microphone,981-000014,"USB Padded Stereo Headset 
Wired, 8 Feet Cable, Noise Cancelling Microphone ",Other,,System Accessories,30
Jabra SPEAK 410 Microphone,7410-209,,Other,,System Accessories,93
DisplayPort to DVI Male-Male 6-Foot Adapter,GENDPDVI6,,Other,,System Accessories,14
Kingston DataTraveler G4 32GB USB 3.0 Flash Drive,DTIG4/32GB,DTIG4/32GB,Other,,System Accessories,17
Kingston 64GB USB 3.0 DataTraveler,DT100G3/64GB,DT100G3/64GB,Other,,System Accessories,28
Cat 6 5-Foot Patch Cable,GENCABCAT65FT,,Other,,System Accessories,2
Cat 6 10-Foot Patch Cable,GENCABCAT610FT,,Other,,System Accessories,3
Cat 6 15-Foot Patch Cable,GENCABCAT615FT,,Other,,System Accessories,4
VGA Cable 25-Foot with 3.5mm Stereo Audio,P504-025,,Other,,System Accessories,25
HDMI Male to VGA Female Adapter,GENCABHDMIMVGAF,,Other,,System Accessories,15
HDMI UltraHD 4K M-M 10-Foot Cable,GENCABHDMI10FT,,Other,,System Accessories,8
Mini DisplayPort Male to VGA Male Adapter,GENCABMDPMVGAM,,Other,,System Accessories,15
Mini DisplayPort Male to HDMI Male 15-Foot Video Adapter,GENCABMDPMHDMIM15FT,,Other,,System Accessories,17
Rankie HDMI to DisplayPort 15-Foot Cable,R1102D,,Other,,System Accessories,17
DisplayPort Male to HDMI Female Cable Adapter,GENCABDPMHDMIF,,Other,,System Accessories,8
Microsoft Windows Server Standard 2016,MICSOFWINSERVERSTD20,2-Core License,Microsoft,,Software,27
Microsoft Windows Server Standard 2016 CAL,MICSOFWINSERVERSTD20,MICSOFWINSERVERSTD2016CAL,Microsoft,,Software,8
Tableau Desktop Pro License,TAB-PROF-SUB,12-Month Subscription,Other,,Software,340
SyncBack SE V8,BRISOFSYNCBACK,BRISOFSYNCBACK,Other,,Software,24
Microsoft Windows 10 Pro 64-Bit Upgrade,MICSOFWIN10PROUPG,MICSOFWIN10PROUPG,Microsoft,,Software,64
Microsoft Windows Server Standard 2016,MICSOFWINSERVERSTD20,2-Core License,Microsoft,,Software,27
Microsoft Windows Server Standard 2016 CAL,MICSOFWINSERVERSTD20,MICSOFWINSERVERSTD2016CAL,Microsoft,,Software,8
Tableau Desktop Pro License,TAB-PROF-SUB,12-Month Subscription,Other,,Software,340
SyncBack SE V8,BRISOFSYNCBACK,BRISOFSYNCBACK,Other,,Software,24
Cisco SMARTnet 3YR NBD8x5 for CAT 2960X-48FPS-L,CON-3SNT-WSC294SL,CON-3SNT-WSC294SL,Other,,Networking and Communications,1024
Apple iPhone 8 64GB Unlocked Smartphone,MQ6K2LL/A  ,"Unlocked 
LTE/Bluetooth/WiFi 
Operating System: Apple iOS 11 
Memory: 64GB 
Screen: 4.7"" Retina Display 
TouchScreen 
Built-In GPS 
Color: Space Gray",Apple,,"Smartphones, Tablets and Accessories",777
